"","name","date","sentiment.value","Party"
"210","Franklin D. Roosevelt","March 09, 1937",0.272727272727273,"Democrat"
"211","Franklin D. Roosevelt","December 08, 1941",-0.36,"Democrat"
"212","Harry S. Truman","May 08, 1945",0.652173913043478,"Democrat"
"213","Harry S. Truman","April 16, 1945",1.13207547169811,"Democrat"
"214","Harry S. Truman","March 12, 1947",0.359550561797753,"Democrat"
"215","Harry S. Truman","June 20, 1947",-0.342105263157895,"Democrat"
"216","Dwight D. Eisenhower","January 20, 1953",1.25438596491228,"Republican"
"217","Dwight D. Eisenhower","January 05, 1957",1.19047619047619,"Republican"
"218","Dwight D. Eisenhower","January 17, 1961",0.189473684210526,"Republican"
"219","John F. Kennedy","January 20, 1961",0.373333333333333,"Democrat"
"220","John F. Kennedy","May 25, 1961",0.769230769230769,"Democrat"
"221","John F. Kennedy","June 11, 1963",0.315068493150685,"Democrat"
"222","Lyndon B. Johnson","November 27, 1963",0.584415584415584,"Democrat"
"223","Lyndon B. Johnson","July 02, 1964",1.3,"Democrat"
"224","Lyndon B. Johnson","January 20, 1965",0.405405405405405,"Democrat"
"225","Richard M. Nixon","January 20, 1969",1.10204081632653,"Republican"
"226","Richard M. Nixon","April 30, 1970",-0.612244897959184,"Republican"
"227","Richard M. Nixon","August 09, 1974",0.589285714285714,"Republican"
"228","Gerald Ford","September 08, 1974",0.230769230769231,"Republican"
"229","Gerald Ford","April 10, 1975",0.712871287128713,"Republican"
"230","Gerald Ford","August 19, 1976",1.16528925619835,"Republican"
"231","Jimmy Carter","January 20, 1977",1.02702702702703,"Democrat"
"232","Jimmy Carter","July 15, 1979",0.412587412587413,"Democrat"
"233","Jimmy Carter","October 28, 1980",0.074235807860262,"Democrat"
"234","Ronald Reagan","March 04, 1987",0.645161290322581,"Republican"
"235","Ronald Reagan","January 20, 1981",1.11340206185567,"Republican"
"236","Ronald Reagan","March 08, 1983",0.359154929577465,"Republican"
"237","Ronald Reagan","June 12, 1987",1.28125,"Republican"
"238","George H. W. Bush","January 20, 1989",1.98591549295775,"Republican"
"239","George H. W. Bush","December 20, 1989",-0.0952380952380952,"Republican"
"240","George H. W. Bush","February 27, 1991",-0.105263157894737,"Republican"
"241","Bill Clinton","January 20, 1993",0.589041095890411,"Democrat"
"242","Bill Clinton","December 08, 1993",1.52564102564103,"Democrat"
"243","Bill Clinton","August 17, 1998",0.0967741935483871,"Democrat"
"244","George W. Bush","January 20, 2001",0.677777777777778,"Republican"
"245","George W. Bush","September 21, 2001",-0.106870229007634,"Republican"
"246","George W. Bush","November 13, 2008",0.779661016949153,"Republican"
"247","Barack Obama","November 04, 2008",0.871794871794872,"Democrat"
"248","Barack Obama","June 04, 2009",0.290155440414508,"Democrat"
"249","Barack Obama","January 21, 2013",1.26,"Democrat"
"250","Donald Trump","January 20, 2017",1.31884057971015,"Republican"
"251","Donald Trump","February 28, 2017",0.494444444444444,"Republican"
"252","Donald Trump","January 30, 2018",0.29064039408867,"Republican"
"253","Donald Trump","November 05, 2020",0.764705882352941,"Republican"
"254","Donald Trump","September 26, 2020",2.93055555555556,"Republican"
"255","Donald Trump","September 07, 2020",-0.182857142857143,"Republican"
"256","Donald Trump","August 08, 2020",-0.233009708737864,"Republican"
"257","Donald Trump","July 04, 2020",1.81739130434783,"Republican"
"258","Donald Trump","June 20, 2020",-0.307359307359307,"Republican"
"259","Donald Trump","June 13, 2020",1.06666666666667,"Republican"
"260","Donald Trump","June 01, 2020",-0.971014492753623,"Republican"
"261","Donald Trump","April 23, 2020",1.2360248447205,"Republican"
"262","Donald Trump","April 15, 2020",1.12121212121212,"Republican"
"263","Donald Trump","April 13, 2020",0.607758620689655,"Republican"
"264","Donald Trump","March 13, 2020",1.15909090909091,"Republican"
"265","Richard M. Nixon","August 08, 1974",0.60655737704918,"Republican"
"266","Richard M. Nixon","April 30, 1973",0.670103092783505,"Republican"
"267","George Washington","September 19, 1796",1.02272727272727,"Federalist"
"268","George Washington","December 07, 1796",1.06930693069307,"Federalist"
"269","George Washington","March 30, 1796",1,"Federalist"
"270","George Washington","December 08, 1795",0.635294117647059,"Federalist"
"271","George Washington","July 10, 1795",0.0526315789473684,"Federalist"
"272","George Washington","November 19, 1794",0.145833333333333,"Federalist"
"273","George Washington","September 25, 1794",0.8,"Federalist"
