name,date,sentiment.value
John F. Kennedy,"January 20, 1961",0.373333333333333
John F. Kennedy,"May 25, 1961",0.769230769230769
John F. Kennedy,"June 11, 1963",0.315068493150685
Lyndon B. Johnson,"November 27, 1963",0.584415584415584
Lyndon B. Johnson,"July 02, 1964",1.3
Lyndon B. Johnson,"January 20, 1965",0.405405405405405
Richard M. Nixon,"January 20, 1969",1.10204081632653
Richard M. Nixon,"April 30, 1970",-0.612244897959184
Richard M. Nixon,"August 09, 1974",0.589285714285714
Gerald Ford,"September 08, 1974",0.230769230769231
Gerald Ford,"April 10, 1975",0.712871287128713
Gerald Ford,"August 19, 1976",1.16528925619835
Jimmy Carter,"January 20, 1977",1.02702702702703
Jimmy Carter,"July 15, 1979",0.412587412587413
Jimmy Carter,"October 28, 1980",0.074235807860262
Ronald Reagan,"March 04, 1987",0.645161290322581
Ronald Reagan,"January 20, 1981",1.11340206185567
Ronald Reagan,"March 08, 1983",0.359154929577465
Ronald Reagan,"June 12, 1987",1.28125
George H. W. Bush,"January 20, 1989",1.98591549295775
George H. W. Bush,"December 20, 1989",-0.0952380952380952
George H. W. Bush,"February 27, 1991",-0.105263157894737
Bill Clinton,"January 20, 1993",0.589041095890411
Bill Clinton,"December 08, 1993",1.52564102564103
Bill Clinton,"August 17, 1998",0.0967741935483871
George W. Bush,"January 20, 2001",0.677777777777778
George W. Bush,"September 21, 2001",-0.106870229007634
George W. Bush,"November 13, 2008",0.779661016949153
Barack Obama,"November 04, 2008",0.871794871794872
Barack Obama,"June 04, 2009",0.290155440414508
Barack Obama,"January 21, 2013",1.26
Donald Trump,"January 20, 2017",1.31884057971015
Donald Trump,"February 28, 2017",0.494444444444444
Donald Trump,"January 30, 2018",0.29064039408867
Donald Trump,"November 05, 2020",0.764705882352941
Donald Trump,"September 26, 2020",2.93055555555556
Donald Trump,"September 07, 2020",-0.182857142857143
Donald Trump,"August 08, 2020",-0.233009708737864
Donald Trump,"July 04, 2020",1.81739130434783
Donald Trump,"June 20, 2020",-0.307359307359307
Donald Trump,"June 13, 2020",1.06666666666667
Donald Trump,"June 01, 2020",-0.971014492753623
Donald Trump,"April 23, 2020",1.2360248447205
Donald Trump,"April 15, 2020",1.12121212121212
Donald Trump,"April 13, 2020",0.607758620689655
Donald Trump,"March 13, 2020",1.15909090909091
Richard M. Nixon,"August 08, 1974",0.60655737704918
Richard M. Nixon,"April 30, 1973",0.670103092783505
George Washington,"September 19, 1796",1.02272727272727
George Washington,"December 07, 1796",1.06930693069307
George Washington,"March 30, 1796",1
George Washington,"December 08, 1795",0.635294117647059
George Washington,"July 10, 1795",0.0526315789473684
George Washington,"November 19, 1794",0.145833333333333
George Washington,"September 25, 1794",0.8
George Washington,"August 07, 1794",-0.0454545454545455
George Washington,"December 03, 1793",0.294117647058824
George Washington,"March 04, 1793",0.285714285714286
George Washington,"April 30, 1789",1.31944444444444
George Washington,"October 03, 1789",2.38461538461538
George Washington,"January 08, 1790",1.47619047619048
George Washington,"December 08, 1790",0.78
George Washington,"December 29, 1790",0.571428571428571
George Washington,"October 25, 1791",1.30769230769231
George Washington,"April 05, 1792",0
George Washington,"November 06, 1792",0.732394366197183
George Washington,"December 12, 1792",0.466666666666667
George Washington,"April 22, 1793",0.666666666666667
George Washington,"August 29, 1796",2.6530612244898
John Adams,"December 19, 1799",0.193548387096774
John Adams,"December 03, 1799",0.923076923076923
John Adams,"November 22, 1800",1.66
John Adams,"December 08, 1798",0.685714285714286
John Adams,"November 22, 1797",0.36
John Adams,"May 16, 1797",0.336448598130841
John Adams,"March 04, 1797",1.52272727272727
John Adams,"March 23, 1798",1.66666666666667
John Adams,"May 21, 1800",-0.266666666666667
Thomas Jefferson,"April 03, 1809",1.4
Thomas Jefferson,"November 08, 1808",0.25609756097561
Thomas Jefferson,"October 27, 1807",0.0428571428571429
Thomas Jefferson,"July 02, 1807",-0.323529411764706
Thomas Jefferson,"February 10, 1807",-0.363636363636364
Thomas Jefferson,"January 22, 1807",0.212121212121212
Thomas Jefferson,"December 30, 1806",0.305555555555556
Thomas Jefferson,"December 02, 1806",0.89041095890411
Thomas Jefferson,"November 27, 1806",0.571428571428571
Thomas Jefferson,"January 10, 1806",-0.354838709677419
Thomas Jefferson,"December 03, 1805",0.148936170212766
Thomas Jefferson,"March 04, 1801",1.05555555555556
Thomas Jefferson,"July 12, 1801",0.619047619047619
Thomas Jefferson,"December 08, 1801",0.556603773584906
Thomas Jefferson,"January 01, 1802",1.73333333333333
Thomas Jefferson,"November 03, 1802",1.325
Thomas Jefferson,"December 15, 1802",0.615384615384615
Thomas Jefferson,"January 18, 1803",0.880952380952381
Thomas Jefferson,"October 17, 1803",0.333333333333333
Thomas Jefferson,"December 17, 1803",0.459459459459459
Thomas Jefferson,"November 08, 1804",0.508771929824561
Thomas Jefferson,"June 20, 1803",0.423076923076923
Thomas Jefferson,"March 04, 1805",0.870588235294118
Thomas Jefferson,"December 06, 1805",-0.181818181818182
James Madison,"March 03, 1817",1.3448275862069
James Madison,"December 03, 1816",0.938144329896907
James Madison,"December 05, 1815",1.22680412371134
James Madison,"February 18, 1815",1.75609756097561
James Madison,"September 20, 1814",-0.202127659574468
James Madison,"September 01, 1814",-0.775
James Madison,"December 07, 1813",-0.149606299212598
James Madison,"July 23, 1813",1.4
James Madison,"May 25, 1813",0.453333333333333
James Madison,"March 04, 1813",-0.0625
